,age,job,marital,education,credits,balance,housing,loan,contact_type,day,duration,campaign,pdays,previous,poutcome,subscription,month_num
181,78,retired,divorced,primary,no,229,no,no,telephone,22,97,1,-1,0,2,1,10
182,78,retired,divorced,primary,no,1389,no,no,cellular,8,335,1,-1,0,2,1,4
183,78,management,married,unknown,no,1780,yes,no,cellular,25,211,2,185,7,1,1,10
184,78,housemaid,married,secondary,no,499,no,no,telephone,16,80,4,-1,0,2,0,3
185,77,unknown,married,unknown,no,397,no,no,telephone,8,207,1,185,3,1,0,11
186,77,unknown,married,unknown,no,397,no,no,telephone,7,300,3,-1,0,2,1,5
187,77,retired,single,primary,no,300,no,no,cellular,9,511,1,-1,0,2,0,9
188,77,retired,married,unknown,no,992,no,no,cellular,27,147,2,182,2,0,0,4
189,77,retired,married,unknown,no,38,no,no,telephone,3,261,1,-1,0,2,0,2
190,77,retired,married,unknown,no,1807,no,no,telephone,20,373,1,-1,0,2,1,10
191,77,retired,married,tertiary,no,7802,no,no,telephone,4,421,1,92,2,1,1,5
192,77,retired,married,tertiary,no,7802,no,no,telephone,1,483,2,-1,0,2,1,2
193,77,retired,married,tertiary,no,699,no,no,cellular,13,425,2,-1,0,2,1,8
194,77,retired,married,tertiary,no,1047,no,no,cellular,30,108,5,-1,0,2,0,6
195,77,retired,married,tertiary,no,0,no,no,cellular,6,190,1,-1,0,2,0,4
196,77,retired,married,tertiary,no,0,no,no,cellular,27,990,4,-1,0,2,0,9
197,77,retired,married,tertiary,no,0,no,no,cellular,17,286,1,-1,0,2,1,8
198,77,retired,married,tertiary,no,0,no,no,cellular,16,847,1,60,1,1,1,10
199,77,retired,married,secondary,no,9601,no,no,telephone,27,515,1,-1,0,2,1,3
200,77,retired,married,secondary,no,820,no,no,telephone,21,330,2,181,4,1,1,10
201,77,retired,married,secondary,no,638,no,no,cellular,7,453,1,-1,0,2,1,8
202,77,retired,married,secondary,no,638,no,no,cellular,11,288,1,188,1,1,1,2
203,77,retired,married,secondary,no,610,no,no,cellular,13,766,3,-1,0,2,0,8
204,77,retired,married,secondary,no,4112,no,no,telephone,29,426,1,184,3,1,1,7
205,77,retired,married,secondary,no,4112,no,no,telephone,26,1616,1,95,2,1,1,1
206,77,retired,married,secondary,no,2123,no,no,telephone,4,141,4,-1,0,2,0,2
207,77,retired,married,secondary,no,1208,no,no,telephone,28,72,4,-1,0,2,0,4
208,77,retired,married,primary,no,989,no,no,telephone,12,95,2,-1,0,2,0,10
209,77,retired,married,primary,no,680,no,no,telephone,27,341,4,94,3,0,0,11
210,77,retired,married,primary,no,680,no,no,telephone,25,103,3,-1,0,2,0,8
211,77,retired,married,primary,no,680,no,no,telephone,24,513,2,89,7,0,0,2
212,77,retired,married,primary,no,3324,no,no,cellular,13,289,1,91,5,1,1,5
213,77,retired,married,primary,no,29340,no,no,cellular,15,257,1,91,2,3,1,3
214,77,retired,married,primary,no,2590,no,no,telephone,15,112,5,94,15,1,0,2
215,77,retired,married,primary,no,2590,no,no,telephone,13,212,3,277,12,0,1,11
216,77,retired,married,primary,no,2590,no,no,telephone,12,345,1,178,20,0,1,8
217,77,retired,married,primary,no,2223,no,no,telephone,10,365,2,187,1,1,0,8
218,77,retired,married,primary,no,1492,no,no,telephone,1,663,1,208,2,3,0,9
219,77,retired,married,primary,no,1385,no,no,telephone,8,160,4,-1,0,2,0,9
220,77,retired,married,primary,no,121,no,no,telephone,7,191,1,-1,0,2,0,10
221,77,retired,divorced,tertiary,no,4659,no,no,cellular,14,161,1,-1,0,2,1,4
222,77,retired,divorced,secondary,no,3417,no,no,cellular,12,134,1,-1,0,2,1,11
223,77,retired,divorced,secondary,no,0,no,no,cellular,25,210,1,-1,0,2,1,9
224,77,retired,divorced,primary,no,639,no,no,telephone,16,127,7,-1,0,2,0,4
225,77,retired,divorced,primary,no,2693,no,no,cellular,25,83,2,94,12,3,0,10
226,77,management,married,unknown,no,1780,yes,no,cellular,23,221,2,183,3,1,1,10
227,77,management,married,unknown,no,1780,yes,no,cellular,23,361,2,182,5,1,1,4
228,77,management,married,tertiary,no,5619,no,no,cellular,25,189,1,-1,0,2,0,3
229,76,self-employed,married,unknown,no,4984,no,no,telephone,28,403,1,182,1,1,1,4
230,76,self-employed,married,unknown,no,4984,no,no,telephone,15,126,3,48,2,1,0,6
231,76,retired,married,unknown,no,992,no,no,cellular,27,139,2,-1,0,2,0,10
232,76,retired,married,unknown,no,8919,no,no,cellular,28,231,1,-1,0,2,0,1
233,76,retired,married,tertiary,no,2991,no,no,cellular,25,195,1,95,2,1,0,1
234,76,retired,married,tertiary,no,2991,no,no,cellular,22,344,1,183,1,1,1,10
235,76,retired,married,tertiary,no,0,no,no,telephone,4,92,3,169,1,0,0,2
236,76,retired,married,tertiary,no,0,no,no,telephone,19,170,1,-1,0,2,0,8
237,76,retired,married,secondary,no,852,no,no,telephone,3,283,2,-1,0,2,0,2
238,76,retired,married,secondary,no,820,no,no,telephone,23,263,4,-1,0,2,1,4
239,76,retired,married,secondary,no,4112,no,no,telephone,23,282,2,-1,0,2,1,10
240,76,retired,married,secondary,no,242,no,no,telephone,16,994,3,-1,0,2,0,9
241,76,retired,married,secondary,no,2302,no,no,telephone,5,110,1,87,2,0,0,2
242,76,retired,married,secondary,no,2302,no,no,telephone,10,345,2,-1,0,2,0,11
243,76,retired,married,primary,no,3324,no,no,cellular,13,122,1,92,3,1,1,11
244,76,retired,married,primary,no,3324,no,no,cellular,13,227,2,192,1,0,1,8
245,76,retired,married,primary,no,3324,no,no,cellular,11,309,1,90,4,1,1,2
246,76,retired,married,primary,no,2632,no,no,cellular,28,368,2,-1,0,2,0,8
247,76,retired,married,primary,no,2590,no,no,telephone,9,68,12,-1,0,2,0,2
248,76,retired,married,primary,no,2223,no,no,telephone,4,429,1,-1,0,2,1,2
249,76,retired,married,primary,no,163,no,no,telephone,13,120,1,-1,0,2,0,10
250,76,retired,married,primary,no,1492,no,no,telephone,3,383,1,-1,0,2,1,11
251,76,retired,divorced,primary,no,86,no,no,cellular,12,192,1,-1,0,2,0,8
252,76,retired,divorced,primary,no,802,no,no,cellular,9,475,5,-1,0,2,1,9
253,76,retired,divorced,primary,no,802,no,no,cellular,9,241,1,181,5,1,1,3
254,76,retired,divorced,primary,no,3049,no,no,cellular,24,170,3,-1,0,2,1,3
255,76,retired,divorced,primary,no,2693,no,no,cellular,23,109,5,184,2,1,0,4
256,76,retired,divorced,primary,no,2693,no,no,cellular,21,107,2,-1,0,2,1,10
257,76,management,married,unknown,no,1780,yes,no,telephone,23,413,3,-1,0,2,1,4
258,76,housemaid,married,primary,no,1483,no,no,cellular,2,90,4,-1,0,2,0,8
259,76,housemaid,divorced,primary,no,1411,no,no,telephone,19,233,2,187,3,1,1,10
260,76,housemaid,divorced,primary,no,1411,no,no,telephone,15,170,3,-1,0,2,1,4
261,75,unknown,married,tertiary,no,643,no,no,cellular,15,522,2,-1,0,2,0,10
262,75,self-employed,married,unknown,no,4984,no,no,telephone,28,509,1,-1,0,2,1,10
263,75,retired,married,unknown,no,7819,no,no,cellular,15,261,1,97,4,3,0,2
264,75,retired,married,tertiary,no,6027,no,no,cellular,16,1248,2,94,2,0,1,11
265,75,retired,married,tertiary,no,6027,no,no,cellular,14,809,1,179,4,1,1,5
266,75,retired,married,tertiary,no,4912,no,no,telephone,20,238,2,183,5,0,0,10
267,75,retired,married,tertiary,no,2991,no,no,cellular,22,240,1,-1,0,2,1,4
268,75,retired,married,secondary,no,468,no,no,telephone,24,316,1,-1,0,2,0,6
269,75,retired,married,secondary,no,3771,no,no,telephone,16,186,1,183,1,0,1,10
270,75,retired,married,secondary,no,3771,no,no,telephone,15,185,1,181,2,1,1,4
271,75,retired,married,secondary,no,324,no,no,telephone,12,124,2,91,4,3,0,11
272,75,retired,married,secondary,no,291,no,no,cellular,12,350,1,182,2,1,1,8
273,75,retired,married,secondary,no,291,no,no,cellular,11,515,1,183,1,0,1,2
274,75,retired,married,secondary,no,26452,no,no,telephone,15,219,2,-1,0,2,0,7
275,75,retired,married,secondary,no,1470,no,no,telephone,27,49,1,-1,0,2,0,2
276,75,retired,married,primary,no,962,no,no,cellular,17,344,1,-1,0,2,0,6
277,75,retired,married,primary,no,5491,no,no,telephone,28,258,6,-1,0,2,0,7
278,75,retired,married,primary,no,358,no,no,cellular,17,364,11,-1,0,2,1,2
279,75,retired,married,primary,no,3504,no,no,telephone,9,195,1,-1,0,2,0,8
280,75,retired,married,primary,no,3324,no,no,cellular,2,149,1,-1,0,2,0,2
281,75,retired,married,primary,no,2970,no,no,cellular,12,641,1,-1,0,2,1,8
282,75,retired,married,primary,no,1765,no,no,telephone,14,808,1,187,4,0,1,9
283,75,retired,married,primary,no,1765,no,no,telephone,11,282,2,181,2,1,0,3
284,75,retired,married,primary,no,1413,no,no,cellular,1,532,2,188,2,1,1,9
285,75,retired,divorced,tertiary,no,3810,yes,no,cellular,16,262,1,183,1,0,1,11
286,75,retired,divorced,secondary,no,2199,no,no,telephone,13,137,1,-1,0,2,0,11
287,75,retired,divorced,secondary,no,1341,no,no,cellular,18,415,7,-1,0,2,1,12
288,75,retired,divorced,secondary,no,1092,no,no,telephone,12,250,1,431,2,0,0,10
289,75,retired,divorced,secondary,no,105,no,no,cellular,14,232,1,-1,0,2,0,4
290,75,retired,divorced,primary,no,852,no,no,cellular,16,228,1,185,1,0,0,9
291,75,retired,divorced,primary,no,852,no,no,cellular,15,341,1,-1,0,2,0,3
292,75,retired,divorced,primary,no,46,no,no,cellular,2,294,1,-1,0,2,0,2
293,75,retired,divorced,primary,no,3881,yes,no,cellular,4,136,3,-1,0,2,1,2
294,75,retired,divorced,primary,no,37127,no,no,cellular,11,505,1,-1,0,2,0,2
295,75,retired,divorced,primary,no,1926,no,no,cellular,9,761,1,93,5,3,0,9
296,75,retired,divorced,primary,no,18,no,no,cellular,24,222,4,-1,0,2,0,4
297,75,blue-collar,married,secondary,no,6053,no,no,telephone,5,416,1,-1,0,2,0,8
298,75,blue-collar,married,secondary,no,6053,no,no,cellular,11,865,2,190,1,0,0,2
299,75,admin.,married,unknown,no,1093,no,no,cellular,22,369,1,-1,0,2,0,4
300,74,retired,married,unknown,no,7819,no,no,cellular,6,165,3,-1,0,2,0,8
301,74,retired,married,tertiary,no,6027,no,no,cellular,14,233,2,-1,0,2,0,8
302,74,retired,married,tertiary,no,4912,no,no,telephone,21,129,3,-1,0,2,0,10
303,74,retired,married,tertiary,no,4912,no,no,telephone,20,268,2,181,3,0,0,4
304,74,retired,married,tertiary,no,2575,no,no,cellular,25,172,2,161,1,0,0,1
305,74,retired,married,tertiary,no,20422,no,no,cellular,12,90,2,-1,0,2,0,8
306,74,retired,married,tertiary,no,1843,no,no,cellular,15,251,2,184,3,1,1,9
307,74,retired,married,tertiary,no,1843,no,no,cellular,15,192,1,185,2,1,1,3
308,74,retired,married,tertiary,no,1742,no,no,cellular,28,1092,1,-1,0,2,0,10
309,74,retired,married,tertiary,no,1124,no,no,telephone,13,200,2,-1,0,2,0,10
310,74,retired,married,secondary,no,9480,no,no,cellular,21,211,1,-1,0,2,1,4
311,74,retired,married,secondary,no,935,no,no,cellular,5,226,1,99,2,0,1,5
312,74,retired,married,secondary,no,935,no,no,cellular,26,100,1,104,1,3,0,1
313,74,retired,married,secondary,no,935,no,no,cellular,25,400,1,173,3,1,1,10
314,74,retired,married,secondary,no,921,no,no,telephone,17,394,2,-1,0,2,1,4
315,74,retired,married,secondary,no,3771,no,no,telephone,16,159,1,-1,0,2,0,4
316,74,retired,married,secondary,no,291,no,no,cellular,12,543,1,-1,0,2,0,8
317,74,retired,married,secondary,no,1714,no,no,telephone,17,127,1,-1,0,2,1,2
318,74,retired,married,primary,no,670,no,no,cellular,23,266,5,-1,0,2,1,4
319,74,retired,married,primary,no,5539,no,no,cellular,3,253,2,181,1,1,0,2
320,74,retired,married,primary,no,5539,no,no,cellular,12,390,2,159,3,0,0,7
321,74,retired,married,primary,no,4286,no,no,cellular,30,195,1,-1,0,2,0,9
322,74,retired,married,primary,no,2894,no,no,telephone,1,97,5,204,2,3,0,9
323,74,retired,married,primary,no,279,no,no,telephone,15,227,1,-1,0,2,0,10
324,74,retired,married,primary,no,1765,no,no,telephone,11,290,2,-1,0,2,1,9
325,74,retired,married,primary,no,1413,no,no,cellular,25,385,2,-1,0,2,1,2
